source: https://www.neonscience.org/dc-convert-date-time-POSIX-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,datetime,jd,airt,f.airt,rh,f.rh,dewp,f.dewp,prec,f.prec,slrr,f.slrr,parr,f.parr,netr,f.netr,bar,f.bar,wspd,f.wspd,wres,f.wres,wdir,f.wdir,wdev,f.wdev,gspd,f.gspd,s10t,f.s10t
140255,2009-01-01 0:00,366,-17.3,,76,,-20.6,,0,,0,,0,,-56,,1003,,3.6,,3.1,,302,,28,,9.1,,1.1,
140256,2009-01-01 0:15,1,-17.4,,75,,-20.8,,0,,0,,0,,-55,,1003,,3.8,,3.5,,298,,24,,9.6,,1.1,
140257,2009-01-01 0:30,1,-17.5,,75,,-21,,0,,0,,0,,-53,,1003,,3,,2.7,,298,,25,,6.4,,1.1,
140258,2009-01-01 0:45,1,-17.6,,75,,-21.1,,0,,0,,0,,-52,,1004,,2.6,,2.3,,304,,27,,5.9,,1.1,
140259,2009-01-01 1:00,1,-17.8,,75,,-21.1,,0,,0,,0,,-51,,1004,,2,,1.7,,313,,31,,7.3,,1.1,
140260,2009-01-01 1:15,1,-17.8,,74,,-21.3,,0,,0,,0,,-53,,1004,,2.9,,2.6,,304,,27,,7.1,,1.1,
140261,2009-01-01 1:30,1,-17.9,,74,,-21.4,,0,,0,,0,,-53,,1004,,2.7,,2.5,,304,,26,,7,,1.1,
140262,2009-01-01 1:45,1,-18,,74,,-21.5,,0,,0,,0,,-53,,1004,,2.8,,2.6,,307,,25,,7.3,,1.1,
140263,2009-01-01 2:00,1,-18,,73,,-21.6,,0,,0,,0,,-51,,1004,,3,,2.7,,298,,26,,9.8,,1.1,
140264,2009-01-01 2:15,1,-18.1,,73,,-21.7,,0,,0,,0,,-53,,1005,,3.2,,2.9,,294,,22,,8.4,,1.1,
140265,2009-01-01 2:30,1,-18.2,,73,,-21.8,,0,,0,,0,,-51,,1005,,2.9,,2.6,,301,,25,,7.2,,1.1,
140266,2009-01-01 2:45,1,-18.3,,73,,-21.9,,0,,0,,0,,-50,,1005,,2.8,,2.6,,296,,24,,7.3,,1.1,
140267,2009-01-01 3:00,1,-18.4,,72,,-22.2,,0,,0,,0,,-51,,1005,,3.3,,2.9,,299,,27,,7.7,,1.1,
140268,2009-01-01 3:15,1,-18.4,,70,,-22.5,,0,,0,,0,,-55,,1006,,3.2,,2.8,,305,,28,,10.2,,1.1,
140269,2009-01-01 3:30,1,-18.4,,68,,-22.8,,0,,0,,0,,-54,,1006,,3.4,,3,,306,,27,,8.8,,1.1,
140270,2009-01-01 3:45,1,-18.5,,67,,-23.1,,0,,0,,0,,-56,,1006,,3.6,,3.1,,312,,28,,10.5,,1.1,
140271,2009-01-01 4:00,1,-18.5,,66,,-23.3,,0,,0,,0,,-53,,1007,,3,,2.6,,300,,29,,7.6,,1.1,
140272,2009-01-01 4:15,1,-18.5,,66,,-23.3,,0,,0,,0,,-52,,1007,,3.4,,3,,296,,30,,8.9,,1.1,
140273,2009-01-01 4:30,1,-18.5,,66,,-23.4,,0,,0,,0,,-53,,1007,,3.4,,3,,295,,28,,9.3,,1,
140274,2009-01-01 4:45,1,-18.7,,67,,-23.3,,0,,0,,0,,-50,,1007,,2.4,,2.1,,287,,27,,6.8,,1,
140275,2009-01-01 5:00,1,-18.8,,67,,-23.3,,0,,0,,0,,-51,,1007,,3,,2.7,,283,,24,,6.9,,1,
140276,2009-01-01 5:15,1,-18.7,,67,,-23.3,,0,,0,,0,,-51,,1008,,3.4,,3.1,,284,,23,,11.1,,1,
140277,2009-01-01 5:30,1,-18.8,,68,,-23.2,,0,,0,,0,,-53,,1008,,2.3,,2,,299,,32,,8.5,,1,
140278,2009-01-01 5:45,1,-18.9,,70,,-23,,0,,0,,0,,-50,,1008,,2.2,,1.9,,298,,30,,7,,1,
140279,2009-01-01 6:00,1,-19,,70,,-23,,0,,0,,0,,-49,,1009,,2.2,,1.9,,299,,26,,5.2,,1,
140280,2009-01-01 6:15,1,-19,,71,,-23,,0,,0,,0,,-48,,1009,,2.4,,2.2,,287,,21,,5.6,,1,
140281,2009-01-01 6:30,1,-18.9,,71,,-22.9,,0,,0,,0,,-48,,1009,,2.8,,2.6,,289,,23,,7.3,,1,
140282,2009-01-01 6:45,1,-18.9,,71,,-22.8,,0,,0,,0,,-49,,1009,,2.8,,2.5,,286,,24,,7.3,,1,
140283,2009-01-01 7:00,1,-18.9,,72,,-22.8,,0,,0,,0,,-49,,1009,,3,,2.7,,284,,25,,8.8,,1,
