Sources: https://www.generalblue.com/calendar/canada/2023 & https://www.generalblue.com/calendar/canada/2024 & https://www2.gov.bc.ca/gov/content/employment-business/employment-standards-advice/employment-standards/statutory-holidays,,
,,
holiday_date,day_of_week,holiday
01-Jan-23,Sunday,New Year's Day
20-Feb-23,Monday,Family Day
07-Apr-23,Friday,Good Friday
09-Apr-23,Sunday,Easter Sunday
22-May-23,Monday,Victoria Day
01-Jul-23,Saturday,Canada Day
07-Aug-23,Monday,Civic Holiday
04-Sep-23,Monday,Labour Day
30-Sep-23,Saturday,National Day for Truth and Reconcilliation
09-Oct-23,Monday,Thanksgiving
11-Nov-23,Saturday,Remembrance Day
25-Dec-23,Monday,Christmas Day
26-Dec-23,Tuesday,Boxing Day
01-Jan-24,Monday,New Year's Day
19-Feb-24,Monday,Family Day
29-Mar-24,Friday,Good Friday
31-Mar-24,Sunday,Easter Sunday
20-May-24,Monday,Victoria Day
01-Jul-23,Monday,Canada Day
05-Aug-23,Monday,Civic Holiday
02-Sep-24,Monday,Labour Day
30-Sep-24,Monday,National Day for Truth and Reconcilliation
14-Oct-24,Monday,Thanksgiving
11-Nov-24,Monday,Remembrance Day
25-Dec-24,Wednesday,Christmas Day
26-Dec-24,Thursday,Boxing Day
